sample	compressor	size	noise	correct
He Wasn't Man Enough 092 Toni Braxton The Heat	lzma	1	1.0	False
He Wasn't Man Enough 092 Toni Braxton The Heat	bzip2	1	1.0	False
Oh Boy (feat. Juelz Santana) 066 Cam'ron Come Home With Me	gzip	1	1.0	False
Oh Boy (feat. Juelz Santana) 066 Cam'ron Come Home With Me	lzma	1	1.0	False
Oh Boy (feat. Juelz Santana) 066 Cam'ron Come Home With Me	bzip2	1	1.0	False
Where the Party At (feat. Nelly) [LP Mix featuring Nelly] 019 Jagged Edge featuring Nelly Where t	gzip	1	1.0	False
Where the Party At (feat. Nelly) [LP Mix featuring Nelly] 019 Jagged Edge featuring Nelly Where t	lzma	1	1.0	False
Where the Party At (feat. Nelly) [LP Mix featuring Nelly] 019 Jagged Edge featuring Nelly Where t	bzip2	1	1.0	False
Whatcha Say 048 Jason Derulo Jason Derulo	gzip	1	1.0	False
Whatcha Say 048 Jason Derulo Jason Derulo	lzma	1	1.0	False
Whatcha Say 048 Jason Derulo Jason Derulo	bzip2	1	1.0	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	gzip	1	1.0	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	lzma	1	1.0	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	bzip2	1	1.0	False
Umbrella (feat. JAY Z) 013 Rihanna Good Girl Gone Bad_ Reloaded	gzip	1	1.0	False
Umbrella (feat. JAY Z) 013 Rihanna Good Girl Gone Bad_ Reloaded	lzma	1	1.0	False
Umbrella (feat. JAY Z) 013 Rihanna Good Girl Gone Bad_ Reloaded	bzip2	1	1.0	False
Get the Party Started 045 P!nk M!ssundaztood	gzip	1	1.0	False
Get the Party Started 045 P!nk M!ssundaztood	lzma	1	1.0	False
Get the Party Started 045 P!nk M!ssundaztood	bzip2	1	1.0	False
Sping From The Four Seasons (Vivaldi)	gzip	1	1.0	False
Sping From The Four Seasons (Vivaldi)	lzma	1	1.0	False
Sping From The Four Seasons (Vivaldi)	bzip2	1	1.0	False
The Call 008 Backstreet Boys Black & Blue	gzip	1	1.0	False
The Call 008 Backstreet Boys Black & Blue	lzma	1	1.0	False
The Call 008 Backstreet Boys Black & Blue	bzip2	1	1.0	False
Umbrella (feat. JAY Z) 013 Rihanna Good Girl Gone Bad_ Reloaded	gzip	1	1.0	False
Umbrella (feat. JAY Z) 013 Rihanna Good Girl Gone Bad_ Reloaded	lzma	1	1.0	False
Umbrella (feat. JAY Z) 013 Rihanna Good Girl Gone Bad_ Reloaded	bzip2	1	1.0	False
Beautiful Day 053 U2 All That You Can't Leave Behind (20th Anniversary Super Deluxe Edition)	gzip	1	1.0	False
Beautiful Day 053 U2 All That You Can't Leave Behind (20th Anniversary Super Deluxe Edition)	lzma	1	1.0	False
Beautiful Day 053 U2 All That You Can't Leave Behind (20th Anniversary Super Deluxe Edition)	bzip2	1	1.0	False
Sping From The Four Seasons (Vivaldi)	gzip	1	1.0	False
Sping From The Four Seasons (Vivaldi)	lzma	1	1.0	False
Sping From The Four Seasons (Vivaldi)	bzip2	1	1.0	False
He Wasn't Man Enough 092 Toni Braxton The Heat	gzip	1	1.0	False
He Wasn't Man Enough 092 Toni Braxton The Heat	lzma	1	1.0	False
He Wasn't Man Enough 092 Toni Braxton The Heat	bzip2	1	1.0	False
Piano Sonatta No. 15 (Mozart)	gzip	1	1.0	False
Piano Sonatta No. 15 (Mozart)	lzma	1	1.0	False
Piano Sonatta No. 15 (Mozart)	bzip2	1	1.0	False
Bye Bye Bye 043 _NSYNC No Strings Attached	gzip	1	1.0	False
Bye Bye Bye 043 _NSYNC No Strings Attached	lzma	1	1.0	False
Bye Bye Bye 043 _NSYNC No Strings Attached	bzip2	1	1.0	False
Oh Boy (feat. Juelz Santana) 066 Cam'ron Come Home With Me	gzip	1	1.0	False
Oh Boy (feat. Juelz Santana) 066 Cam'ron Come Home With Me	lzma	1	1.0	False
Oh Boy (feat. Juelz Santana) 066 Cam'ron Come Home With Me	bzip2	1	1.0	False
Get the Party Started 045 P!nk M!ssundaztood	gzip	1	1.0	True
Get the Party Started 045 P!nk M!ssundaztood	lzma	1	1.0	False
Get the Party Started 045 P!nk M!ssundaztood	bzip2	1	1.0	True
How You Remind Me 016 Nickelback Silver Side Up	gzip	1	1.0	False
How You Remind Me 016 Nickelback Silver Side Up	lzma	1	1.0	False
How You Remind Me 016 Nickelback Silver Side Up	bzip2	1	1.0	False
Where the Party At (feat. Nelly) [LP Mix featuring Nelly] 019 Jagged Edge featuring Nelly Where t	gzip	1	1.0	False
Where the Party At (feat. Nelly) [LP Mix featuring Nelly] 019 Jagged Edge featuring Nelly Where t	lzma	1	1.0	False
Where the Party At (feat. Nelly) [LP Mix featuring Nelly] 019 Jagged Edge featuring Nelly Where t	bzip2	1	1.0	False
Girlfriend 061 Avril Lavigne Girlfriend EP	gzip	1	1.0	False
Girlfriend 061 Avril Lavigne Girlfriend EP	lzma	1	1.0	False
Girlfriend 061 Avril Lavigne Girlfriend EP	bzip2	1	1.0	False
Paralyzer 052 Finger Eleven Them Vs. You Vs. Me (Deluxe Edition)	gzip	1	1.0	False
Paralyzer 052 Finger Eleven Them Vs. You Vs. Me (Deluxe Edition)	lzma	1	1.0	False
Paralyzer 052 Finger Eleven Them Vs. You Vs. Me (Deluxe Edition)	bzip2	1	1.0	False
Ain't It Funny (feat. Ja Rule & Cadillac Tah) [Murder Remix] 086 Jennifer Lopez J to tha L-O! The	gzip	1	1.0	False
Ain't It Funny (feat. Ja Rule & Cadillac Tah) [Murder Remix] 086 Jennifer Lopez J to tha L-O! The	lzma	1	1.0	False
Ain't It Funny (feat. Ja Rule & Cadillac Tah) [Murder Remix] 086 Jennifer Lopez J to tha L-O! The	bzip2	1	1.0	False
Bump, Bump, Bump (B2K and P. Diddy) 082 B2K B2K_ Greatest Hits	gzip	1	1.0	False
Bump, Bump, Bump (B2K and P. Diddy) 082 B2K B2K_ Greatest Hits	lzma	1	1.0	False
Bump, Bump, Bump (B2K and P. Diddy) 082 B2K B2K_ Greatest Hits	bzip2	1	1.0	False
Paralyzer 052 Finger Eleven Them Vs. You Vs. Me (Deluxe Edition)	gzip	1	1.0	False
Paralyzer 052 Finger Eleven Them Vs. You Vs. Me (Deluxe Edition)	lzma	1	1.0	False
Paralyzer 052 Finger Eleven Them Vs. You Vs. Me (Deluxe Edition)	bzip2	1	1.0	False
Oh Boy (feat. Juelz Santana) 066 Cam'ron Come Home With Me	gzip	1	1.0	False
Oh Boy (feat. Juelz Santana) 066 Cam'ron Come Home With Me	lzma	1	1.0	False
Oh Boy (feat. Juelz Santana) 066 Cam'ron Come Home With Me	bzip2	1	1.0	False
Bump, Bump, Bump (B2K and P. Diddy) 082 B2K B2K_ Greatest Hits	gzip	1	1.0	False
Bump, Bump, Bump (B2K and P. Diddy) 082 B2K B2K_ Greatest Hits	lzma	1	1.0	False
Bump, Bump, Bump (B2K and P. Diddy) 082 B2K B2K_ Greatest Hits	bzip2	1	1.0	False
Piano Sonatta No. 15 (Mozart)	gzip	1	1.0	False
Piano Sonatta No. 15 (Mozart)	lzma	1	1.0	False
Piano Sonatta No. 15 (Mozart)	bzip2	1	1.0	False
Bump, Bump, Bump (B2K and P. Diddy) 082 B2K B2K_ Greatest Hits	gzip	1	1.0	False
Bump, Bump, Bump (B2K and P. Diddy) 082 B2K B2K_ Greatest Hits	lzma	1	1.0	False
Bump, Bump, Bump (B2K and P. Diddy) 082 B2K B2K_ Greatest Hits	bzip2	1	1.0	False
He Wasn't Man Enough 092 Toni Braxton The Heat	gzip	1	1.0	False
He Wasn't Man Enough 092 Toni Braxton The Heat	lzma	1	1.0	False
He Wasn't Man Enough 092 Toni Braxton The Heat	bzip2	1	1.0	False
Rehab 056 Amy Winehouse Back to Black	gzip	1	1.0	False
Rehab 056 Amy Winehouse Back to Black	lzma	1	1.0	False
Rehab 056 Amy Winehouse Back to Black	bzip2	1	1.0	False
Rehab 056 Amy Winehouse Back to Black	gzip	1	1.0	False
Rehab 056 Amy Winehouse Back to Black	lzma	1	1.0	False
Rehab 056 Amy Winehouse Back to Black	bzip2	1	1.0	False
Umbrella (feat. JAY Z) 013 Rihanna Good Girl Gone Bad_ Reloaded	gzip	1	1.0	False
Umbrella (feat. JAY Z) 013 Rihanna Good Girl Gone Bad_ Reloaded	lzma	1	1.0	False
Umbrella (feat. JAY Z) 013 Rihanna Good Girl Gone Bad_ Reloaded	bzip2	1	1.0	False
Get the Party Started 045 P!nk M!ssundaztood	gzip	1	1.0	False
Get the Party Started 045 P!nk M!ssundaztood	lzma	1	1.0	False
Get the Party Started 045 P!nk M!ssundaztood	bzip2	1	1.0	False
Paralyzer 052 Finger Eleven Them Vs. You Vs. Me (Deluxe Edition)	gzip	1	1.0	False
Paralyzer 052 Finger Eleven Them Vs. You Vs. Me (Deluxe Edition)	lzma	1	1.0	False
Paralyzer 052 Finger Eleven Them Vs. You Vs. Me (Deluxe Edition)	bzip2	1	1.0	False
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	gzip	1	1.0	False
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	lzma	1	1.0	False
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	bzip2	1	1.0	False
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	gzip	1	1.0	False
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	lzma	1	1.0	False
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	bzip2	1	1.0	False
Whatcha Say 048 Jason Derulo Jason Derulo	gzip	1	1.0	False
Whatcha Say 048 Jason Derulo Jason Derulo	lzma	1	1.0	False
Whatcha Say 048 Jason Derulo Jason Derulo	bzip2	1	1.0	False
Try Again 009 Aaliyah Romeo Must Die (Original Soundtrack)	gzip	1	1.0	False
Try Again 009 Aaliyah Romeo Must Die (Original Soundtrack)	lzma	1	1.0	False
Try Again 009 Aaliyah Romeo Must Die (Original Soundtrack)	bzip2	1	1.0	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	gzip	1	1.0	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	lzma	1	1.0	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	bzip2	1	1.0	False
Whatcha Say 048 Jason Derulo Jason Derulo	gzip	1	1.0	False
Whatcha Say 048 Jason Derulo Jason Derulo	lzma	1	1.0	False
Whatcha Say 048 Jason Derulo Jason Derulo	bzip2	1	1.0	True
Closer 032 Ne-Yo Year of the Gentleman (Deluxe Edition)	gzip	1	1.0	False
Closer 032 Ne-Yo Year of the Gentleman (Deluxe Edition)	lzma	1	1.0	False
Closer 032 Ne-Yo Year of the Gentleman (Deluxe Edition)	bzip2	1	1.0	False
Where the Party At (feat. Nelly) [LP Mix featuring Nelly] 019 Jagged Edge featuring Nelly Where t	gzip	1	0.5	True
Where the Party At (feat. Nelly) [LP Mix featuring Nelly] 019 Jagged Edge featuring Nelly Where t	lzma	1	0.5	False
Where the Party At (feat. Nelly) [LP Mix featuring Nelly] 019 Jagged Edge featuring Nelly Where t	bzip2	1	0.5	False
Bye Bye Bye 043 _NSYNC No Strings Attached	gzip	1	0.5	False
Bye Bye Bye 043 _NSYNC No Strings Attached	lzma	1	0.5	False
Bye Bye Bye 043 _NSYNC No Strings Attached	bzip2	1	0.5	False
Girlfriend 061 Avril Lavigne Girlfriend EP	gzip	1	0.5	True
Girlfriend 061 Avril Lavigne Girlfriend EP	lzma	1	0.5	False
Girlfriend 061 Avril Lavigne Girlfriend EP	bzip2	1	0.5	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	gzip	1	0.5	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	lzma	1	0.5	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	bzip2	1	0.5	False
1 Thing 031 Amerie Touch	gzip	1	0.5	True
1 Thing 031 Amerie Touch	lzma	1	0.5	False
1 Thing 031 Amerie Touch	bzip2	1	0.5	False
1 Thing 031 Amerie Touch	gzip	1	0.5	False
1 Thing 031 Amerie Touch	lzma	1	0.5	False
1 Thing 031 Amerie Touch	bzip2	1	0.5	False
Crazy 036 Gnarls Barkley St. Elsewhere	gzip	1	0.5	True
Crazy 036 Gnarls Barkley St. Elsewhere	lzma	1	0.5	False
Crazy 036 Gnarls Barkley St. Elsewhere	bzip2	1	0.5	False
No Such Thing 078 John Mayer Room for Squares	gzip	1	0.5	True
No Such Thing 078 John Mayer Room for Squares	lzma	1	0.5	False
No Such Thing 078 John Mayer Room for Squares	bzip2	1	0.5	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	gzip	1	0.5	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	lzma	1	0.5	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	bzip2	1	0.5	False
Get the Party Started 045 P!nk M!ssundaztood	gzip	1	0.5	True
Get the Party Started 045 P!nk M!ssundaztood	lzma	1	0.5	False
Get the Party Started 045 P!nk M!ssundaztood	bzip2	1	0.5	False
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	gzip	1	0.5	True
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	lzma	1	0.5	True
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	bzip2	1	0.5	False
Lose Yourself 059 Eminem 8 Mile (Music from and Inspired By the Motion Picture)	gzip	1	0.5	False
Lose Yourself 059 Eminem 8 Mile (Music from and Inspired By the Motion Picture)	lzma	1	0.5	False
Lose Yourself 059 Eminem 8 Mile (Music from and Inspired By the Motion Picture)	bzip2	1	0.5	False
How You Remind Me 016 Nickelback Silver Side Up	gzip	1	0.5	True
How You Remind Me 016 Nickelback Silver Side Up	lzma	1	0.5	False
How You Remind Me 016 Nickelback Silver Side Up	bzip2	1	0.5	False
Piano Sonatta No. 15 (Mozart)	gzip	1	0.5	False
Piano Sonatta No. 15 (Mozart)	lzma	1	0.5	False
Piano Sonatta No. 15 (Mozart)	bzip2	1	0.5	False
Whatcha Say 048 Jason Derulo Jason Derulo	gzip	1	0.5	False
Whatcha Say 048 Jason Derulo Jason Derulo	lzma	1	0.5	False
Whatcha Say 048 Jason Derulo Jason Derulo	bzip2	1	0.5	True
Lose Yourself 059 Eminem 8 Mile (Music from and Inspired By the Motion Picture)	gzip	1	0.5	False
Lose Yourself 059 Eminem 8 Mile (Music from and Inspired By the Motion Picture)	lzma	1	0.5	False
Lose Yourself 059 Eminem 8 Mile (Music from and Inspired By the Motion Picture)	bzip2	1	0.5	False
Bump, Bump, Bump (B2K and P. Diddy) 082 B2K B2K_ Greatest Hits	gzip	1	0.5	False
Bump, Bump, Bump (B2K and P. Diddy) 082 B2K B2K_ Greatest Hits	lzma	1	0.5	False
Bump, Bump, Bump (B2K and P. Diddy) 082 B2K B2K_ Greatest Hits	bzip2	1	0.5	False
Where the Party At (feat. Nelly) [LP Mix featuring Nelly] 019 Jagged Edge featuring Nelly Where t	gzip	1	0.5	True
Where the Party At (feat. Nelly) [LP Mix featuring Nelly] 019 Jagged Edge featuring Nelly Where t	lzma	1	0.5	False
Where the Party At (feat. Nelly) [LP Mix featuring Nelly] 019 Jagged Edge featuring Nelly Where t	bzip2	1	0.5	False
Lose Yourself 059 Eminem 8 Mile (Music from and Inspired By the Motion Picture)	gzip	1	0.5	False
Lose Yourself 059 Eminem 8 Mile (Music from and Inspired By the Motion Picture)	lzma	1	0.5	False
Lose Yourself 059 Eminem 8 Mile (Music from and Inspired By the Motion Picture)	bzip2	1	0.5	False
Try Again 009 Aaliyah Romeo Must Die (Original Soundtrack)	gzip	1	0.5	False
Try Again 009 Aaliyah Romeo Must Die (Original Soundtrack)	lzma	1	0.5	False
Try Again 009 Aaliyah Romeo Must Die (Original Soundtrack)	bzip2	1	0.5	False
How You Remind Me 016 Nickelback Silver Side Up	gzip	1	0.5	False
How You Remind Me 016 Nickelback Silver Side Up	lzma	1	0.5	False
How You Remind Me 016 Nickelback Silver Side Up	bzip2	1	0.5	False
Try Again 009 Aaliyah Romeo Must Die (Original Soundtrack)	gzip	1	0.5	True
Try Again 009 Aaliyah Romeo Must Die (Original Soundtrack)	lzma	1	0.5	False
Try Again 009 Aaliyah Romeo Must Die (Original Soundtrack)	bzip2	1	0.5	False
Ain't It Funny (feat. Ja Rule & Cadillac Tah) [Murder Remix] 086 Jennifer Lopez J to tha L-O! The	gzip	1	0.5	False
Ain't It Funny (feat. Ja Rule & Cadillac Tah) [Murder Remix] 086 Jennifer Lopez J to tha L-O! The	lzma	1	0.5	False
Ain't It Funny (feat. Ja Rule & Cadillac Tah) [Murder Remix] 086 Jennifer Lopez J to tha L-O! The	bzip2	1	0.5	False
Beautiful Day 053 U2 All That You Can't Leave Behind (20th Anniversary Super Deluxe Edition)	gzip	1	0.5	False
Beautiful Day 053 U2 All That You Can't Leave Behind (20th Anniversary Super Deluxe Edition)	lzma	1	0.5	False
Beautiful Day 053 U2 All That You Can't Leave Behind (20th Anniversary Super Deluxe Edition)	bzip2	1	0.5	False
Sping From The Four Seasons (Vivaldi)	gzip	1	0.5	False
Sping From The Four Seasons (Vivaldi)	lzma	1	0.5	False
Sping From The Four Seasons (Vivaldi)	bzip2	1	0.5	False
Sping From The Four Seasons (Vivaldi)	gzip	1	0.5	False
Sping From The Four Seasons (Vivaldi)	lzma	1	0.5	False
Sping From The Four Seasons (Vivaldi)	bzip2	1	0.5	False
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	gzip	1	0.5	True
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	lzma	1	0.5	False
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	bzip2	1	0.5	False
He Wasn't Man Enough 092 Toni Braxton The Heat	gzip	1	0.5	True
He Wasn't Man Enough 092 Toni Braxton The Heat	lzma	1	0.5	False
He Wasn't Man Enough 092 Toni Braxton The Heat	bzip2	1	0.5	False
Try Again 009 Aaliyah Romeo Must Die (Original Soundtrack)	gzip	1	0.5	False
Try Again 009 Aaliyah Romeo Must Die (Original Soundtrack)	lzma	1	0.5	False
Try Again 009 Aaliyah Romeo Must Die (Original Soundtrack)	bzip2	1	0.5	False
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	gzip	1	0.5	False
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	lzma	1	0.5	False
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	bzip2	1	0.5	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	gzip	1	0.5	True
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	lzma	1	0.5	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	bzip2	1	0.5	False
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	gzip	1	0.5	False
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	lzma	1	0.5	False
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	bzip2	1	0.5	False
Rehab 056 Amy Winehouse Back to Black	gzip	1	0.5	False
Rehab 056 Amy Winehouse Back to Black	lzma	1	0.5	False
Rehab 056 Amy Winehouse Back to Black	bzip2	1	0.5	False
Sping From The Four Seasons (Vivaldi)	gzip	1	0.5	False
Sping From The Four Seasons (Vivaldi)	lzma	1	0.5	False
Sping From The Four Seasons (Vivaldi)	bzip2	1	0.5	False
Oh Boy (feat. Juelz Santana) 066 Cam'ron Come Home With Me	gzip	1	0.5	False
Oh Boy (feat. Juelz Santana) 066 Cam'ron Come Home With Me	lzma	1	0.5	False
Oh Boy (feat. Juelz Santana) 066 Cam'ron Come Home With Me	bzip2	1	0.5	True
No Such Thing 078 John Mayer Room for Squares	gzip	1	0.5	True
No Such Thing 078 John Mayer Room for Squares	lzma	1	0.5	False
No Such Thing 078 John Mayer Room for Squares	bzip2	1	0.5	False
Treasure Waltz (Strauss)	gzip	1	0.5	False
Treasure Waltz (Strauss)	lzma	1	0.5	False
Treasure Waltz (Strauss)	bzip2	1	0.5	False
Girlfriend 061 Avril Lavigne Girlfriend EP	gzip	1	0.5	True
Girlfriend 061 Avril Lavigne Girlfriend EP	lzma	1	0.5	False
Girlfriend 061 Avril Lavigne Girlfriend EP	bzip2	1	0.5	True
Ain't It Funny (feat. Ja Rule & Cadillac Tah) [Murder Remix] 086 Jennifer Lopez J to tha L-O! The	gzip	1	0.5	False
Ain't It Funny (feat. Ja Rule & Cadillac Tah) [Murder Remix] 086 Jennifer Lopez J to tha L-O! The	lzma	1	0.5	False
Ain't It Funny (feat. Ja Rule & Cadillac Tah) [Murder Remix] 086 Jennifer Lopez J to tha L-O! The	bzip2	1	0.5	False
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	gzip	1	0.5	False
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	lzma	1	0.5	False
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	bzip2	1	0.5	False
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	gzip	1	0.5	False
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	lzma	1	0.5	False
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	bzip2	1	0.5	False
Where the Party At (feat. Nelly) [LP Mix featuring Nelly] 019 Jagged Edge featuring Nelly Where t	gzip	1	0.5	True
Where the Party At (feat. Nelly) [LP Mix featuring Nelly] 019 Jagged Edge featuring Nelly Where t	lzma	1	0.5	False
Where the Party At (feat. Nelly) [LP Mix featuring Nelly] 019 Jagged Edge featuring Nelly Where t	bzip2	1	0.5	False
Single Ladies (Put a Ring On It) 022 Beyoncé I Am... Sasha Fierce	gzip	1	0.5	True
Single Ladies (Put a Ring On It) 022 Beyoncé I Am... Sasha Fierce	lzma	1	0.5	True
Single Ladies (Put a Ring On It) 022 Beyoncé I Am... Sasha Fierce	bzip2	1	0.5	True
The Call 008 Backstreet Boys Black & Blue	gzip	1	0.5	False
The Call 008 Backstreet Boys Black & Blue	lzma	1	0.5	False
The Call 008 Backstreet Boys Black & Blue	bzip2	1	0.5	False
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	gzip	1	0.5	True
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	lzma	1	0.5	False
Oops!… I Did It Again 001 Britney Spears Oops!... I Did It Again	bzip2	1	0.5	False
Goodies (feat. Petey Pablo) 081 Ciara Goodies	gzip	1	0.5	True
Goodies (feat. Petey Pablo) 081 Ciara Goodies	lzma	1	0.5	False
Goodies (feat. Petey Pablo) 081 Ciara Goodies	bzip2	1	0.5	False
Beautiful Day 053 U2 All That You Can't Leave Behind (20th Anniversary Super Deluxe Edition)	gzip	1	0.5	False
Beautiful Day 053 U2 All That You Can't Leave Behind (20th Anniversary Super Deluxe Edition)	lzma	1	0.5	False
Beautiful Day 053 U2 All That You Can't Leave Behind (20th Anniversary Super Deluxe Edition)	bzip2	1	0.5	False
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	gzip	1	0.5	False
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	lzma	1	0.5	False
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	bzip2	1	0.5	False
Goodies (feat. Petey Pablo) 081 Ciara Goodies	gzip	1	0.5	True
Goodies (feat. Petey Pablo) 081 Ciara Goodies	lzma	1	0.5	True
Goodies (feat. Petey Pablo) 081 Ciara Goodies	bzip2	1	0.5	False
Piano Sonatta No. 15 (Mozart)	gzip	1	0.5	False
Piano Sonatta No. 15 (Mozart)	lzma	1	0.5	False
Piano Sonatta No. 15 (Mozart)	bzip2	1	0.5	False
Single Ladies (Put a Ring On It) 022 Beyoncé I Am... Sasha Fierce	gzip	1	0.5	False
Single Ladies (Put a Ring On It) 022 Beyoncé I Am... Sasha Fierce	lzma	1	0.5	False
Single Ladies (Put a Ring On It) 022 Beyoncé I Am... Sasha Fierce	bzip2	1	0.5	False
For Alise (Bethoven)	gzip	1	0.5	False
For Alise (Bethoven)	lzma	1	0.5	False
For Alise (Bethoven)	bzip2	1	0.5	False
The Call 008 Backstreet Boys Black & Blue	gzip	1	0.5	False
The Call 008 Backstreet Boys Black & Blue	lzma	1	0.5	False
The Call 008 Backstreet Boys Black & Blue	bzip2	1	0.5	False
Single Ladies (Put a Ring On It) 022 Beyoncé I Am... Sasha Fierce	gzip	1	0.5	True
Single Ladies (Put a Ring On It) 022 Beyoncé I Am... Sasha Fierce	lzma	1	0.5	False
Single Ladies (Put a Ring On It) 022 Beyoncé I Am... Sasha Fierce	bzip2	1	0.5	True
Paralyzer 052 Finger Eleven Them Vs. You Vs. Me (Deluxe Edition)	gzip	1	0.5	False
Paralyzer 052 Finger Eleven Them Vs. You Vs. Me (Deluxe Edition)	lzma	1	0.5	False
Paralyzer 052 Finger Eleven Them Vs. You Vs. Me (Deluxe Edition)	bzip2	1	0.5	False
Closer 032 Ne-Yo Year of the Gentleman (Deluxe Edition)	gzip	1	0.5	False
Closer 032 Ne-Yo Year of the Gentleman (Deluxe Edition)	lzma	1	0.5	False
Closer 032 Ne-Yo Year of the Gentleman (Deluxe Edition)	bzip2	1	0.5	False
How You Remind Me 016 Nickelback Silver Side Up	gzip	1	0.5	True
How You Remind Me 016 Nickelback Silver Side Up	lzma	1	0.5	False
How You Remind Me 016 Nickelback Silver Side Up	bzip2	1	0.5	False
Girlfriend 061 Avril Lavigne Girlfriend EP	gzip	1	0.5	False
Girlfriend 061 Avril Lavigne Girlfriend EP	lzma	1	0.5	False
